total_count,11493
repository,Manuscripts and Archives

repo_uri,resource_uri,parent_uri,archival_object_uri,resource_title,archival_object_title,archival_object_level,extent_number,extent_type,extent_portion
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739873,Edward Mandell House papers,"<title render=""italic"">Atlanta Constitution</title>",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739874,Edward Mandell House papers,"<title render=""italic"">Atlantic Monthly</title>",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739875,Edward Mandell House papers,"Atwood, Julius W. (*)",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739876,Edward Mandell House papers,"Aubert, Louis",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739877,Edward Mandell House papers,"Auchincloss, Charles C.",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739878,Edward Mandell House papers,"Auchincloss, Mrs. Edgar S.",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739879,Edward Mandell House papers,"Auchincloss, Edward H.",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739880,Edward Mandell House papers,"Auchincloss, Frances",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739881,Edward Mandell House papers,"Auchincloss, Gordon (*)",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739882,Edward Mandell House papers,"Auchincloss, Gordon (*)",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739883,Edward Mandell House papers,"Auchincloss, Gordon (*)",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739884,Edward Mandell House papers,"Auchincloss, Gordon (*)",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739885,Edward Mandell House papers,"Auchincloss, Gordon",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739886,Edward Mandell House papers,"Auchincloss, Hugh (*)",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739887,Edward Mandell House papers,"Auchincloss, Hugh, Jr.",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739888,Edward Mandell House papers,"Auchincloss, James C.",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739889,Edward Mandell House papers,"Auchincloss, Janet (""Boots"") (Mrs. Gordon) (*)",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739890,Edward Mandell House papers,"Auchincloss, John",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739891,Edward Mandell House papers,"Auchincloss, Louise",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739892,Edward Mandell House papers,"Auchincloss, Richard",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739893,Edward Mandell House papers,"Auchincloss, Samuel Sloan",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739894,Edward Mandell House papers,"Auchincloss, Samuel Sloan, Jr.",file,,,
